,routeid,routestring,EndSolution,origin,destination,weights,weight_of_route,route_flow
0,6831704,"['ALB', 'GRC']",1,ALB,GRC,"[1.5, 0.5]",2.0,ALBGRC
0,6849753,"['ALB', 'SRB', 'HUN', 'SVN', 'ITA']",1,ALB,ITA,"[1.5, 1.5, 0.25, 0.25, 0.25]",3.75,ALBITA
1,6838894,"['ALB', 'MNE', 'HRV', 'SVN', 'ITA']",1,ALB,ITA,"[1.5, 1.5, 0.5, 0.25, 0.25]",4.0,ALBITA
2,6848365,"['ALB', 'SRB', 'HRV', 'SVN', 'ITA']",1,ALB,ITA,"[1.5, 1.5, 0.5, 0.25, 0.25]",4.0,ALBITA
3,6848666,"['ALB', 'SRB', 'HUN', 'AUT', 'ITA']",1,ALB,ITA,"[1.5, 1.5, 0.25, 0.0, 0.25]",3.5,ALBITA
4,6839635,"['ALB', 'MNE', 'SRB', 'HRV', 'SVN', 'ITA']",1,ALB,ITA,"[1.5, 1.5, 1.5, 0.5, 0.25, 0.25]",5.5,ALBITA
5,6837187,"['ALB', 'MNE', 'HRV', 'HUN', 'AUT', 'ITA']",1,ALB,ITA,"[1.5, 1.5, 0.5, 0.25, 0.0, 0.25]",4.0,ALBITA
6,6844346,"['ALB', 'MKD', 'SRB', 'HRV', 'SVN', 'ITA']",1,ALB,ITA,"[1.5, 1.5, 1.5, 0.5, 0.25, 0.25]",5.5,ALBITA
7,6840147,"['ALB', 'MNE', 'SRB', 'HUN', 'SVN', 'ITA']",1,ALB,ITA,"[1.5, 1.5, 1.5, 0.25, 0.25, 0.25]",5.25,ALBITA
8,6844452,"['ALB', 'MKD', 'SRB', 'HUN', 'AUT', 'ITA']",1,ALB,ITA,"[1.5, 1.5, 1.5, 0.25, 0.0, 0.25]",5.0,ALBITA
9,6838624,"['ALB', 'MNE', 'HRV', 'SVN', 'AUT', 'ITA']",1,ALB,ITA,"[1.5, 1.5, 0.5, 0.25, 0.0, 0.25]",4.0,ALBITA
0,6858478,"['ALB', 'MKD']",1,ALB,MKD,"[1.5, 1.5]",3.0,ALBMKD
1,6852945,"['ALB', 'GRC', 'MKD']",1,ALB,MKD,"[1.5, 0.5, 1.5]",3.5,ALBMKD
2,6852944,"['ALB', 'GRC', 'BGR', 'MKD']",1,ALB,MKD,"[1.5, 0.5, 0.5, 1.5]",4.0,ALBMKD
3,6858477,"['ALB', 'MNE', 'SRB', 'MKD']",1,ALB,MKD,"[1.5, 1.5, 1.5, 1.5]",6.0,ALBMKD
4,6854134,"['ALB', 'MNE', 'BIH', 'SRB', 'MKD']",1,ALB,MKD,"[1.5, 1.5, 1.5, 1.5, 1.5]",7.5,ALBMKD
5,6855713,"['ALB', 'MNE', 'HRV', 'SRB', 'MKD']",1,ALB,MKD,"[1.5, 1.5, 0.5, 1.5, 1.5]",6.5,ALBMKD
6,6856730,"['ALB', 'MNE', 'SRB', 'BGR', 'MKD']",1,ALB,MKD,"[1.5, 1.5, 1.5, 0.5, 1.5]",6.5,ALBMKD
7,6854227,"['ALB', 'MNE', 'HRV', 'BIH', 'SRB', 'MKD']",1,ALB,MKD,"[1.5, 1.5, 0.5, 1.5, 1.5, 1.5]",8.0,ALBMKD
8,6856729,"['ALB', 'MNE', 'SRB', 'BGR', 'GRC', 'MKD']",1,ALB,MKD,"[1.5, 1.5, 1.5, 0.5, 0.5, 1.5]",7.0,ALBMKD
9,6854642,"['ALB', 'MNE', 'HRV', 'HUN', 'SRB', 'MKD']",1,ALB,MKD,"[1.5, 1.5, 0.5, 0.25, 1.5, 1.5]",6.75,ALBMKD
0,6860469,"['ALB', 'SRB']",1,ALB,SRB,"[1.5, 1.5]",3.0,ALBSRB
1,6859901,"['ALB', 'MNE', 'SRB']",1,ALB,SRB,"[1.5, 1.5, 1.5]",4.5,ALBSRB
2,6860468,"['ALB', 'MKD', 'SRB']",1,ALB,SRB,"[1.5, 1.5, 1.5]",4.5,ALBSRB
3,6858740,"['ALB', 'GRC', 'MKD', 'SRB']",1,ALB,SRB,"[1.5, 0.5, 1.5, 1.5]",5.0,ALBSRB
4,6859900,"['ALB', 'MNE', 'HRV', 'SRB']",1,ALB,SRB,"[1.5, 1.5, 0.5, 1.5]",5.0,ALBSRB
5,6859568,"['ALB', 'MNE', 'BIH', 'SRB']",1,ALB,SRB,"[1.5, 1.5, 1.5, 1.5]",6.0,ALBSRB
6,6858678,"['ALB', 'GRC', 'BGR', 'SRB']",1,ALB,SRB,"[1.5, 0.5, 0.5, 1.5]",4.0,ALBSRB
7,6860172,"['ALB', 'MKD', 'BGR', 'SRB']",1,ALB,SRB,"[1.5, 1.5, 0.5, 1.5]",5.0,ALBSRB
8,6859569,"['ALB', 'MNE', 'HRV', 'BIH', 'SRB']",1,ALB,SRB,"[1.5, 1.5, 0.5, 1.5, 1.5]",6.5,ALBSRB
9,6859135,"['ALB', 'GRC', 'TUR', 'BGR', 'SRB']",1,ALB,SRB,"[1.5, 0.5, 1.5, 0.5, 1.5]",5.5,ALBSRB
0,6875416,"['AZE', 'TUR']",1,AZE,TUR,"[1.5, 1.5]",3.0,AZETUR
1,6864058,"['AZE', 'GEO', 'TUR']",1,AZE,TUR,"[1.5, 1.5, 1.5]",4.5,AZETUR
2,6866579,"['AZE', 'RUS', 'GEO', 'TUR']",1,AZE,TUR,"[1.5, 1.75, 1.5, 1.5]",6.25,AZETUR
3,6874254,"['AZE', 'RUS', 'UKR', 'ROU', 'BGR', 'TUR']",1,AZE,TUR,"[1.5, 1.75, 1.5, 0.5, 0.5, 1.5]",7.25,AZETUR
4,6873440,"['AZE', 'RUS', 'UKR', 'MDA', 'ROU', 'BGR', 'TUR']",1,AZE,TUR,"[1.5, 1.75, 1.5, 1.5, 0.5, 0.5, 1.5]",8.75,AZETUR
5,6865894,"['AZE', 'RUS', 'BLR', 'UKR', 'ROU', 'BGR', 'TUR']",1,AZE,TUR,"[1.5, 1.75, 1.75, 1.5, 0.5, 0.5, 1.5]",9.0,AZETUR
6,6874182,"['AZE', 'RUS', 'UKR', 'ROU', 'BGR', 'GRC', 'TUR']",1,AZE,TUR,"[1.5, 1.75, 1.5, 0.5, 0.5, 0.5, 1.5]",7.75,AZETUR
7,6872026,"['AZE', 'RUS', 'POL', 'UKR', 'ROU', 'BGR', 'TUR']",1,AZE,TUR,"[1.5, 1.75, 0.25, 1.5, 0.5, 0.5, 1.5]",7.5,AZETUR
8,6863650,"['AZE', 'GEO', 'RUS', 'UKR', 'ROU', 'BGR', 'TUR']",1,AZE,TUR,"[1.5, 1.5, 1.75, 1.5, 0.5, 0.5, 1.5]",8.75,AZETUR
9,6873045,"['AZE', 'RUS', 'UKR', 'HUN', 'SRB', 'BGR', 'TUR']",1,AZE,TUR,"[1.5, 1.75, 1.5, 0.25, 1.5, 0.5, 1.5]",8.5,AZETUR
0,6875417,"['BGR', 'GRC', 'ALB']",1,BGR,ALB,"[0.5, 0.5, 1.5]",2.5,BGRALB
1,6875418,"['BGR', 'MKD', 'ALB']",1,BGR,ALB,"[0.5, 1.5, 1.5]",3.5,BGRALB
2,6882284,"['BGR', 'SRB', 'ALB']",1,BGR,ALB,"[0.5, 1.5, 1.5]",3.5,BGRALB
3,6879427,"['BGR', 'ROU', 'SRB', 'ALB']",1,BGR,ALB,"[0.5, 0.5, 1.5, 1.5]",4.0,BGRALB
4,6884601,"['BGR', 'TUR', 'GRC', 'ALB']",1,BGR,ALB,"[0.5, 1.5, 0.5, 1.5]",4.0,BGRALB
5,6876363,"['BGR', 'ROU', 'HUN', 'SRB', 'ALB']",1,BGR,ALB,"[0.5, 0.5, 0.25, 1.5, 1.5]",4.25,BGRALB
6,6880190,"['BGR', 'ROU', 'UKR', 'HUN', 'SRB', 'ALB']",1,BGR,ALB,"[0.5, 0.5, 1.5, 0.25, 1.5, 1.5]",5.75,BGRALB
7,6876224,"['BGR', 'ROU', 'HUN', 'HRV', 'SRB', 'ALB']",1,BGR,ALB,"[0.5, 0.5, 0.25, 0.5, 1.5, 1.5]",4.75,BGRALB
8,6876223,"['BGR', 'ROU', 'HUN', 'HRV', 'MNE', 'ALB']",1,BGR,ALB,"[0.5, 0.5, 0.25, 0.5, 1.5, 1.5]",4.75,BGRALB
9,6878663,"['BGR', 'ROU', 'MDA', 'UKR', 'HUN', 'SRB', 'ALB']",1,BGR,ALB,"[0.5, 0.5, 1.5, 1.5, 0.25, 1.5, 1.5]",7.25,BGRALB
0,6886066,"['BGR', 'ROU', 'HUN', 'AUT']",1,BGR,AUT,"[0.5, 0.5, 0.25, 0.0]",1.25,BGRAUT
1,6886835,"['BGR', 'SRB', 'HUN', 'AUT']",1,BGR,AUT,"[0.5, 1.5, 0.25, 0.0]",2.25,BGRAUT
2,6886353,"['BGR', 'ROU', 'SRB', 'HUN', 'AUT']",1,BGR,AUT,"[0.5, 0.5, 1.5, 0.25, 0.0]",2.75,BGRAUT
3,6885852,"['BGR', 'MKD', 'SRB', 'HUN', 'AUT']",1,BGR,AUT,"[0.5, 1.5, 1.5, 0.25, 0.0]",3.75,BGRAUT
4,6886539,"['BGR', 'ROU', 'UKR', 'HUN', 'AUT']",1,BGR,AUT,"[0.5, 0.5, 1.5, 0.25, 0.0]",2.75,BGRAUT
5,6886834,"['BGR', 'SRB', 'HRV', 'SVN', 'AUT']",1,BGR,AUT,"[0.5, 1.5, 0.5, 0.25, 0.0]",2.75,BGRAUT
6,6886712,"['BGR', 'ROU', 'UKR', 'SVK', 'AUT']",1,BGR,AUT,"[0.5, 0.5, 1.5, 0.25, 0.0]",2.75,BGRAUT
7,6886968,"['BGR', 'SRB', 'ROU', 'HUN', 'AUT']",1,BGR,AUT,"[0.5, 1.5, 0.5, 0.25, 0.0]",2.75,BGRAUT
8,6886827,"['BGR', 'SRB', 'HRV', 'HUN', 'AUT']",1,BGR,AUT,"[0.5, 1.5, 0.5, 0.25, 0.0]",2.75,BGRAUT
9,6886173,"['BGR', 'ROU', 'MDA', 'UKR', 'HUN', 'AUT']",1,BGR,AUT,"[0.5, 0.5, 1.5, 1.5, 0.25, 0.0]",4.25,BGRAUT
0,6899692,"['BGR', 'ROU', 'UKR', 'POL', 'DEU', 'BEL']",1,BGR,BEL,"[0.5, 0.5, 1.5, 0.25, 0.0, 0.0]",2.75,BGRBEL
1,6895153,"['BGR', 'ROU', 'HUN', 'AUT', 'DEU', 'BEL']",1,BGR,BEL,"[0.5, 0.5, 0.25, 0.0, 0.0, 0.0]",1.25,BGRBEL
2,6902576,"['BGR', 'SRB', 'HUN', 'AUT', 'DEU', 'BEL']",1,BGR,BEL,"[0.5, 1.5, 0.25, 0.0, 0.0, 0.0]",2.25,BGRBEL
3,6895775,"['BGR', 'ROU', 'HUN', 'SVK', 'POL', 'DEU', 'BEL']",1,BGR,BEL,"[0.5, 0.5, 0.25, 0.25, 0.25, 0.0, 0.0]",1.75,BGRBEL
4,6893557,"['BGR', 'MKD', 'SRB', 'HUN', 'AUT', 'DEU', 'BEL']",1,BGR,BEL,"[0.5, 1.5, 1.5, 0.25, 0.0, 0.0, 0.0]",3.75,BGRBEL
5,6896048,"['BGR', 'ROU', 'HUN', 'SVN', 'AUT', 'DEU', 'BEL']",1,BGR,BEL,"[0.5, 0.5, 0.25, 0.25, 0.0, 0.0, 0.0]",1.5,BGRBEL
6,6895566,"['BGR', 'ROU', 'HUN', 'SVK', 'AUT', 'DEU', 'BEL']",1,BGR,BEL,"[0.5, 0.5, 0.25, 0.25, 0.0, 0.0, 0.0]",1.5,BGRBEL
7,6895045,"['BGR', 'ROU', 'HUN', 'AUT', 'CZE', 'DEU', 'BEL']",1,BGR,BEL,"[0.5, 0.5, 0.25, 0.0, 0.25, 0.0, 0.0]",1.5,BGRBEL
8,6895347,"['BGR', 'ROU', 'HUN', 'AUT', 'CHE', 'DEU', 'BEL']",1,BGR,BEL,"[0.5, 0.5, 0.25, 0.0, 1.0, 0.0, 0.0]",2.25,BGRBEL
9,6895346,"['BGR', 'ROU', 'HUN', 'AUT', 'CHE', 'FRA', 'BEL']",1,BGR,BEL,"[0.5, 0.5, 0.25, 0.0, 1.0, 0.0, 0.0]",2.25,BGRBEL
0,6927495,"['BGR', 'SRB', 'HUN', 'AUT', 'CHE']",1,BGR,CHE,"[0.5, 1.5, 0.25, 0.0, 1.0]",3.25,BGRCHE
1,6917353,"['BGR', 'ROU', 'HUN', 'AUT', 'CHE']",1,BGR,CHE,"[0.5, 0.5, 0.25, 0.0, 1.0]",2.25,BGRCHE
2,6922580,"['BGR', 'ROU', 'UKR', 'HUN', 'AUT', 'CHE']",1,BGR,CHE,"[0.5, 0.5, 1.5, 0.25, 0.0, 1.0]",3.75,BGRCHE
3,6917720,"['BGR', 'ROU', 'HUN', 'SVK', 'AUT', 'CHE']",1,BGR,CHE,"[0.5, 0.5, 0.25, 0.25, 0.0, 1.0]",2.5,BGRCHE
4,6917123,"['BGR', 'ROU', 'HUN', 'AUT', 'ITA', 'CHE']",1,BGR,CHE,"[0.5, 0.5, 0.25, 0.0, 0.25, 1.0]",2.5,BGRCHE
5,6917081,"['BGR', 'ROU', 'HUN', 'AUT', 'DEU', 'CHE']",1,BGR,CHE,"[0.5, 0.5, 0.25, 0.0, 0.0, 1.0]",2.25,BGRCHE
6,6915087,"['BGR', 'MKD', 'SRB', 'HUN', 'AUT', 'CHE']",1,BGR,CHE,"[0.5, 1.5, 1.5, 0.25, 0.0, 1.0]",4.75,BGRCHE
7,6918472,"['BGR', 'ROU', 'HUN', 'SVN', 'AUT', 'CHE']",1,BGR,CHE,"[0.5, 0.5, 0.25, 0.25, 0.0, 1.0]",2.5,BGRCHE
8,6917124,"['BGR', 'ROU', 'HUN', 'AUT', 'LIE', 'CHE']",1,BGR,CHE,"[0.5, 0.5, 0.25, 0.0, 1.0]",2.25,BGRCHE
9,6921110,"['BGR', 'ROU', 'SRB', 'HUN', 'AUT', 'CHE']",1,BGR,CHE,"[0.5, 0.5, 1.5, 0.25, 0.0, 1.0]",3.75,BGRCHE
0,6939035,"['BGR', 'ROU', 'HUN', 'SVK', 'CZE']",1,BGR,CZE,"[0.5, 0.5, 0.25, 0.25, 0.25]",1.75,BGRCZE
1,6941024,"['BGR', 'SRB', 'HUN', 'SVK', 'CZE']",1,BGR,CZE,"[0.5, 1.5, 0.25, 0.25, 0.25]",2.75,BGRCZE
2,6940164,"['BGR', 'ROU', 'UKR', 'POL', 'CZE']",1,BGR,CZE,"[0.5, 0.5, 1.5, 0.25, 0.25]",3.0,BGRCZE
3,6940863,"['BGR', 'SRB', 'HUN', 'AUT', 'CZE']",1,BGR,CZE,"[0.5, 1.5, 0.25, 0.0, 0.25]",2.5,BGRCZE
4,6940198,"['BGR', 'ROU', 'UKR', 'SVK', 'CZE']",1,BGR,CZE,"[0.5, 0.5, 1.5, 0.25, 0.25]",3.0,BGRCZE
5,6938896,"['BGR', 'ROU', 'HUN', 'AUT', 'CZE']",1,BGR,CZE,"[0.5, 0.5, 0.25, 0.0, 0.25]",1.5,BGRCZE
6,6939428,"['BGR', 'ROU', 'MDA', 'UKR', 'SVK', 'CZE']",1,BGR,CZE,"[0.5, 0.5, 1.5, 1.5, 0.25, 0.25]",4.5,BGRCZE
7,6939034,"['BGR', 'ROU', 'HUN', 'SVK', 'AUT', 'CZE']",1,BGR,CZE,"[0.5, 0.5, 0.25, 0.25, 0.0, 0.25]",1.75,BGRCZE
8,6939398,"['BGR', 'ROU', 'MDA', 'UKR', 'POL', 'CZE']",1,BGR,CZE,"[0.5, 0.5, 1.5, 1.5, 0.25, 0.25]",4.5,BGRCZE
9,6939232,"['BGR', 'ROU', 'HUN', 'UKR', 'SVK', 'CZE']",1,BGR,CZE,"[0.5, 0.5, 0.25, 1.5, 0.25, 0.25]",3.25,BGRCZE
0,6947138,"['BGR', 'ROU', 'HUN', 'AUT', 'DEU']",1,BGR,DEU,"[0.5, 0.5, 0.25, 0.0, 0.0]",1.25,BGRDEU
1,6948780,"['BGR', 'ROU', 'UKR', 'POL', 'DEU']",1,BGR,DEU,"[0.5, 0.5, 1.5, 0.25, 0.0]",2.75,BGRDEU
2,6949769,"['BGR', 'SRB', 'HUN', 'AUT', 'DEU']",1,BGR,DEU,"[0.5, 1.5, 0.25, 0.0, 0.0]",2.25,BGRDEU
3,6946465,"['BGR', 'MKD', 'SRB', 'HUN', 'AUT', 'DEU']",1,BGR,DEU,"[0.5, 1.5, 1.5, 0.25, 0.0, 0.0]",3.75,BGRDEU
4,6948178,"['BGR', 'ROU', 'SRB', 'HUN', 'AUT', 'DEU']",1,BGR,DEU,"[0.5, 0.5, 1.5, 0.25, 0.0, 0.0]",2.75,BGRDEU
5,6947400,"['BGR', 'ROU', 'HUN', 'SVN', 'AUT', 'DEU']",1,BGR,DEU,"[0.5, 0.5, 0.25, 0.25, 0.0, 0.0]",1.5,BGRDEU
6,6947263,"['BGR', 'ROU', 'HUN', 'SVK', 'CZE', 'DEU']",1,BGR,DEU,"[0.5, 0.5, 0.25, 0.25, 0.25, 0.0]",1.75,BGRDEU
7,6947137,"['BGR', 'ROU', 'HUN', 'AUT', 'CZE', 'DEU']",1,BGR,DEU,"[0.5, 0.5, 0.25, 0.0, 0.25, 0.0]",1.5,BGRDEU
8,6947307,"['BGR', 'ROU', 'HUN', 'SVK', 'POL', 'DEU']",1,BGR,DEU,"[0.5, 0.5, 0.25, 0.25, 0.25, 0.0]",1.75,BGRDEU
9,6947793,"['BGR', 'ROU', 'MDA', 'UKR', 'POL', 'DEU']",1,BGR,DEU,"[0.5, 0.5, 1.5, 1.5, 0.25, 0.0]",4.25,BGRDEU
0,6973033,"['BGR', 'SRB', 'HUN', 'AUT', 'ITA', 'FRA', 'ESP']",1,BGR,ESP,"[0.5, 1.5, 0.25, 0.0, 0.25, 0.0, 0.25]",2.75,BGRESP
1,6975137,"['BGR', 'SRB', 'HUN', 'SVN', 'ITA', 'FRA', 'ESP']",1,BGR,ESP,"[0.5, 1.5, 0.25, 0.25, 0.25, 0.0, 0.25]",3.0,BGRESP
2,6961416,"['BGR', 'ROU', 'HUN', 'AUT', 'CHE', 'FRA', 'ESP']",1,BGR,ESP,"[0.5, 0.5, 0.25, 0.0, 1.0, 0.0, 0.25]",2.5,BGRESP
3,6973367,"['BGR', 'SRB', 'HUN', 'AUT', 'CHE', 'FRA', 'ESP']",1,BGR,ESP,"[0.5, 1.5, 0.25, 0.0, 1.0, 0.0, 0.25]",3.5,BGRESP
4,6961064,"['BGR', 'ROU', 'HUN', 'AUT', 'ITA', 'FRA', 'ESP']",1,BGR,ESP,"[0.5, 0.5, 0.25, 0.0, 0.25, 0.0, 0.25]",1.75,BGRESP
5,6960933,"['BGR', 'ROU', 'HUN', 'AUT', 'DEU', 'FRA', 'ESP']",1,BGR,ESP,"[0.5, 0.5, 0.25, 0.0, 0.0, 0.0, 0.25]",1.5,BGRESP
6,6962987,"['BGR', 'ROU', 'HUN', 'SVN', 'ITA', 'FRA', 'ESP']",1,BGR,ESP,"[0.5, 0.5, 0.25, 0.25, 0.25, 0.0, 0.25]",2.0,BGRESP
7,6972897,"['BGR', 'SRB', 'HUN', 'AUT', 'DEU', 'FRA', 'ESP']",1,BGR,ESP,"[0.5, 1.5, 0.25, 0.0, 0.0, 0.0, 0.25]",2.5,BGRESP
8,6972600,"['BGR', 'SRB', 'HRV', 'SVN', 'ITA', 'FRA', 'ESP']",1,BGR,ESP,"[0.5, 1.5, 0.5, 0.25, 0.25, 0.0, 0.25]",3.25,BGRESP
9,6968314,"['BGR', 'ROU', 'UKR', 'POL', 'DEU', 'FRA', 'ESP']",1,BGR,ESP,"[0.5, 0.5, 1.5, 0.25, 0.0, 0.0, 0.25]",3.0,BGRESP
0,6989036,"['BGR', 'ROU', 'HUN', 'AUT', 'DEU', 'FRA']",1,BGR,FRA,"[0.5, 0.5, 0.25, 0.0, 0.0, 0.0]",1.25,BGRFRA
1,6989037,"['BGR', 'ROU', 'HUN', 'AUT', 'ITA', 'FRA']",1,BGR,FRA,"[0.5, 0.5, 0.25, 0.0, 0.25, 0.0]",1.5,BGRFRA
2,6996084,"['BGR', 'SRB', 'HUN', 'AUT', 'DEU', 'FRA']",1,BGR,FRA,"[0.5, 1.5, 0.25, 0.0, 0.0, 0.0]",2.25,BGRFRA
3,6989982,"['BGR', 'ROU', 'HUN', 'SVN', 'ITA', 'FRA']",1,BGR,FRA,"[0.5, 0.5, 0.25, 0.25, 0.25, 0.0]",1.75,BGRFRA
4,6995930,"['BGR', 'SRB', 'HRV', 'SVN', 'ITA', 'FRA']",1,BGR,FRA,"[0.5, 1.5, 0.5, 0.25, 0.25, 0.0]",3.0,BGRFRA
5,6989213,"['BGR', 'ROU', 'HUN', 'AUT', 'CHE', 'FRA']",1,BGR,FRA,"[0.5, 0.5, 0.25, 0.0, 1.0, 0.0]",2.25,BGRFRA
6,6996085,"['BGR', 'SRB', 'HUN', 'AUT', 'ITA', 'FRA']",1,BGR,FRA,"[0.5, 1.5, 0.25, 0.0, 0.25, 0.0]",2.5,BGRFRA
7,6997196,"['BGR', 'SRB', 'HUN', 'SVN', 'ITA', 'FRA']",1,BGR,FRA,"[0.5, 1.5, 0.25, 0.25, 0.25, 0.0]",2.75,BGRFRA
8,6993331,"['BGR', 'ROU', 'UKR', 'POL', 'DEU', 'FRA']",1,BGR,FRA,"[0.5, 0.5, 1.5, 0.25, 0.0, 0.0]",2.75,BGRFRA
9,6996249,"['BGR', 'SRB', 'HUN', 'AUT', 'CHE', 'FRA']",1,BGR,FRA,"[0.5, 1.5, 0.25, 0.0, 1.0, 0.0]",3.25,BGRFRA
0,7002569,"['BGR', 'GRC']",1,BGR,GRC,"[0.5, 0.5]",1.0,BGRGRC
0,7015980,"['BGR', 'SRB', 'HRV', 'SVN', 'ITA']",1,BGR,ITA,"[0.5, 1.5, 0.5, 0.25, 0.25]",3.0,BGRITA
1,7009871,"['BGR', 'ROU', 'HUN', 'SVN', 'ITA']",1,BGR,ITA,"[0.5, 0.5, 0.25, 0.25, 0.25]",1.75,BGRITA
2,7009032,"['BGR', 'ROU', 'HUN', 'AUT', 'ITA']",1,BGR,ITA,"[0.5, 0.5, 0.25, 0.0, 0.25]",1.5,BGRITA
3,7016278,"['BGR', 'SRB', 'HUN', 'AUT', 'ITA']",1,BGR,ITA,"[0.5, 1.5, 0.25, 0.0, 0.25]",2.5,BGRITA
4,7017326,"['BGR', 'SRB', 'HUN', 'SVN', 'ITA']",1,BGR,ITA,"[0.5, 1.5, 0.25, 0.25, 0.25]",2.75,BGRITA
5,7011675,"['BGR', 'ROU', 'SRB', 'HRV', 'SVN', 'ITA']",1,BGR,ITA,"[0.5, 0.5, 1.5, 0.5, 0.25, 0.25]",3.5,BGRITA
6,7007386,"['BGR', 'MKD', 'SRB', 'HUN', 'AUT', 'ITA']",1,BGR,ITA,"[0.5, 1.5, 1.5, 0.25, 0.0, 0.25]",4.0,BGRITA
7,7009115,"['BGR', 'ROU', 'HUN', 'HRV', 'SVN', 'ITA']",1,BGR,ITA,"[0.5, 0.5, 0.25, 0.5, 0.25, 0.25]",2.25,BGRITA
8,7009257,"['BGR', 'ROU', 'HUN', 'SVK', 'AUT', 'ITA']",1,BGR,ITA,"[0.5, 0.5, 0.25, 0.25, 0.0, 0.25]",1.75,BGRITA
9,7011778,"['BGR', 'ROU', 'SRB', 'HUN', 'AUT', 'ITA']",1,BGR,ITA,"[0.5, 0.5, 1.5, 0.25, 0.0, 0.25]",3.0,BGRITA
0,7023135,"['BGR', 'MKD']",1,BGR,MKD,"[0.5, 1.5]",2.0,BGRMKD
1,7023134,"['BGR', 'GRC', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5]",2.5,BGRMKD
2,7023133,"['BGR', 'GRC', 'ALB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5]",4.0,BGRMKD
3,7023132,"['BGR', 'GRC', 'ALB', 'MNE', 'SRB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5, 1.5, 1.5]",7.0,BGRMKD
4,7022810,"['BGR', 'GRC', 'ALB', 'MNE', 'BIH', 'SRB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5, 1.5, 1.5, 1.5]",8.5,BGRMKD
5,7022929,"['BGR', 'GRC', 'ALB', 'MNE', 'HRV', 'SRB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5, 0.5, 1.5, 1.5]",7.5,BGRMKD
6,7022761,"['BGR', 'GRC', 'ALB', 'MNE', 'BIH', 'HRV', 'SRB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5, 1.5, 0.5, 1.5, 1.5]",9.0,BGRMKD
7,7022816,"['BGR', 'GRC', 'ALB', 'MNE', 'HRV', 'BIH', 'SRB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5, 0.5, 1.5, 1.5, 1.5]",9.0,BGRMKD
8,7022850,"['BGR', 'GRC', 'ALB', 'MNE', 'HRV', 'HUN', 'SRB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5, 0.5, 0.25, 1.5, 1.5]",7.75,BGRMKD
9,7022743,"['BGR', 'GRC', 'ALB', 'MNE', 'BIH', 'HRV', 'HUN', 'SRB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5, 1.5, 0.5, 0.25, 1.5, 1.5]",9.25,BGRMKD
0,7042194,"['BGR', 'SRB', 'HUN', 'AUT', 'DEU', 'NLD']",1,BGR,NLD,"[0.5, 1.5, 0.25, 0.0, 0.0, 0.0]",2.25,BGRNLD
1,7037993,"['BGR', 'ROU', 'UKR', 'POL', 'DEU', 'NLD']",1,BGR,NLD,"[0.5, 0.5, 1.5, 0.25, 0.0, 0.0]",2.75,BGRNLD
